ID,Label,Type
Julius BIX,Julius BIX,Book
Claudius DIII,Claudius DIII,Book
Otho EIV,Otho EIV,Book
Vitellius DXVIII,Vitellius DXVIII,Book
Vitellius DXX,Vitellius DXX,Book
Titus AXVII,Titus AXVII,Book
Vespasian AII,Vespasian AII,Book
Otho EI,Otho EI,Book
Otho CX,Otho CX,Book
Vitellius EIV,Vitellius EIV,Book
Otho EV,Otho EV,Book
Galba CII,Galba CII,Book
Otho EXI,Otho EXI,Book
Vitellius DXVII,Vitellius DXVII,Book
Faustina EIX,Faustina EIX,Book
Julius DI,Julius DI,Book
Nero CX,Nero CX,Book
Vitellius BI,Vitellius BI,Book
Vespasian DXV,Vespasian DXV,Book
Titus BIX,Titus BIX,Book
Tiberius EVIII,Tiberius EVIII,Book
Julius EII,Julius EII,Book
Caligula CII,Caligula CII,Book
Titus EV,Titus EV,Book
Titus F II,Titus F II,Book
Augustus I.II31,Augustus I.II31,Book
Nero BII,Nero BII,Book
Claudius CVIII,Claudius CVIII,Book
Titus EXIV,Titus EXIV,Book
Otho AXVI,Otho AXVI,Book
Nero BVI,Nero BVI,Book
Oxford Queens College MS 54,Oxford Queens College MS 54,Book
Cleopatra FIV,Cleopatra FIV,Book
Galba CV,Galba CV,Book
Galba DII,Galba DII,Book
Titus EXVI,Titus EXVI,Book
Vitellius CIII,Vitellius CIII,Book
Cleopatra FV,Cleopatra FV,Book
Galba DIII,Galba DIII,Book
Galba BXI,Galba BXI,Book
Appendix L,Appendix L,Book
Faustina EI,Faustina EI,Book
Augustus I.II35,Augustus I.II35,Book
Faustina AIX,Faustina AIX,Book
Vitellius AVI,Vitellius AVI,Book
London Society Of Antiquaries MS 116,London Society Of Antiquaries MS 116,Book
Faustina CIV,Faustina CIV,Book
Cleopatra BV,Cleopatra BV,Book
Vespasian CXII,Vespasian CXII,Book
Caligula EIX,Caligula EIX,Book
Vespasian AI,Vespasian AI,Book
Julius CIV,Julius CIV,Book
Vespasian AV,Vespasian AV,Book
Titus EXIII,Titus EXIII,Book
Nero DV,Nero DV,Book
Augustus I.II33,Augustus I.II33,Book
Caligula CI,Caligula CI,Book
Faustina BI,Faustina BI,Book
Nero AXVI,Nero AXVI,Book
Galba BVIII,Galba BVIII,Book
Faustina CV,Faustina CV,Book
Vitellius FXVIII,Vitellius FXVIII,Book
Galba CVII,Galba CVII,Book
Galba CIX,Galba CIX,Book
Faustina CII,Faustina CII,Book
Vitellius DX,Vitellius DX,Book
Tiberius CIX,Tiberius CIX,Book
Galba BV,Galba BV,Book
Vitellius DV,Vitellius DV,Book
London British Library Royal MS 16 CXXV,London British Library Royal MS 16 CXXV,Book
Vitellius CV,Vitellius CV,Book
Galba EX,Galba EX,Book
Titus DXXV,Titus DXXV,Book
Oxford Bodleian Library MS Dodsworth 76 Sc 5018,Oxford Bodleian Library MS Dodsworth 76 Sc 5018,Book
Cleopatra EV,Cleopatra EV,Book
Nero CIII,Nero CIII,Book
Galba EIII,Galba EIII,Book
Nero AXVII,Nero AXVII,Book
